text,type,categorie,video
crucifijo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/619008.mp4
seña,nombre,religion,https://media.spreadthesign.com/video/mp4/5/24041.mp4
cristiano,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/299354.mp4
padrino,nombre,religion,https://media.spreadthesign.com/video/mp4/5/672558.mp4
madrina,nombre,religion,https://media.spreadthesign.com/video/mp4/5/672559.mp4
episcopal,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/153142.mp4
elfo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/148343.mp4
funeral,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/175807.mp4
Mormón,nombre,religion,https://media.spreadthesign.com/video/mp4/5/154850.mp4
monja,nombre,religion,https://media.spreadthesign.com/video/mp4/5/132134.mp4
misterio,nombre,religion,https://media.spreadthesign.com/video/mp4/5/180037.mp4
demonio,nombre,religion,https://media.spreadthesign.com/video/mp4/5/151937.mp4
divino,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/330680.mp4
degenerado,nombre,religion,https://media.spreadthesign.com/video/mp4/5/475718.mp4
metodista,nombre,religion,https://media.spreadthesign.com/video/mp4/5/154807.mp4
pastor iglesia protestante,nombre,religion,https://media.spreadthesign.com/video/mp4/5/132173.mp4
dedicar,verbo,religion,https://media.spreadthesign.com/video/mp4/5/230328.mp4
perverso,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/154133.mp4
dragón,nombre,religion,https://media.spreadthesign.com/video/mp4/5/152678.mp4
obispo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55433.mp4
Belén,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55390.mp4
bendecir,verbo,religion,https://media.spreadthesign.com/video/mp4/5/64081.mp4
biblia,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55424.mp4
cielo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55463.mp4
infierno,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55466.mp4
Hebreo,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/55465.mp4
héroe,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55024.mp4
rondar,verbo,religion,https://media.spreadthesign.com/video/mp4/5/56497.mp4
santo,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/55486.mp4
subir,verbo,religion,https://media.spreadthesign.com/video/mp4/5/57988.mp4
enterrar,verbo,religion,https://media.spreadthesign.com/video/mp4/5/57311.mp4
Dios,nombre,religion,https://media.spreadthesign.com/video/mp4/5/56384.mp4
himno,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55507.mp4
incienso,nombre,religion,https://media.spreadthesign.com/video/mp4/5/175673.mp4
católico,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/56349.mp4
cementerio,nombre,religion,https://media.spreadthesign.com/video/mp4/5/56352.mp4
converso,nombre,religion,https://media.spreadthesign.com/video/mp4/5/278783.mp4
orden,nombre,religion,https://media.spreadthesign.com/video/mp4/5/202497.mp4
comunión,nombre,religion,https://media.spreadthesign.com/video/mp4/5/278636.mp4
Israel,nombre,religion,https://media.spreadthesign.com/video/mp4/5/55728.mp4
kosher,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/171532.mp4
judío,adjetivo,religion,https://media.spreadthesign.com/video/mp4/5/56395.mp4
judío,nombre,religion,https://media.spreadthesign.com/video/mp4/5/56394.mp4
Jesús,nombre,religion,https://media.spreadthesign.com/video/mp4/5/56392.mp4
janucá,nombre,religion,https://media.spreadthesign.com/video/mp4/5/56364.mp4
capilla,nombre,religion,https://media.spreadthesign.com/video/mp4/5/56359.mp4
Cristo,nombre,religion,https://media.spreadthesign.com/video/mp4/5/64780.mp4
folklore,nombre,religion,https://media.spreadthesign.com/video/mp4/5/32184.mp4
ordenación,nombre,religion,https://media.spreadthesign.com/video/mp4/5/34107.mp4
iglesia,nombre,religion,https://media.spreadthesign.com/video/mp4/5/31706.mp4
catedral,nombre,religion,https://media.spreadthesign.com/video/mp4/5/31714.mp4
fantasma,nombre,religion,https://media.spreadthesign.com/video/mp4/5/35031.mp4
secta,nombre,religion,https://media.spreadthesign.com/video/mp4/5/35363.mp4
correlacionar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/271430.mp4
corresponder,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/271437.mp4
objeción,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/173759.mp4
lindo,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/65604.mp4
juramento,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/171528.mp4
multitud,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/154877.mp4
cortesía,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/58161.mp4
observar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154890.mp4
obvio,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/388753.mp4
ocurrir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154920.mp4
obstáculo,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/154892.mp4
ocupar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154918.mp4
cruzada,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/475705.mp4
manía,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/154143.mp4
asistencia,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/433833.mp4
recompensar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/215631.mp4
confesar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/151024.mp4
confirmación,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/278685.mp4
embuste,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/183216.mp4
mirar con malicia,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154830.mp4
soplar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/475589.mp4
denegar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154356.mp4
inspección,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/175704.mp4
parecido,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/128033.mp4
existencia,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/152988.mp4
sacar conclusiones,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/163450.mp4
existente,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/236508.mp4
deletrear,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/151919.mp4
debería,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/164404.mp4
consideración,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/330652.mp4
significar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/163599.mp4
enfatizar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/235833.mp4
necesidad,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/154353.mp4
limitado,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154325.mp4
demandar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/412568.mp4
limitar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154326.mp4
idóneo,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154061.mp4
gracia,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/179390.mp4
grado,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/330801.mp4
mezclar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/7432.mp4
echar una ojeada,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/67336.mp4
gloria,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/70450.mp4
ojeada,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/173777.mp4
reunir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/217256.mp4
grandioso,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/58025.mp4
agarre,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/440539.mp4
conceder,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/155521.mp4
ir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/57979.mp4
generar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/179353.mp4
molido,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/180045.mp4
aferrar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/475141.mp4
sonrisa,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/179835.mp4
cotilla,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/70465.mp4
regalo,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/70448.mp4
gesto,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/70449.mp4
flamear,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/7426.mp4
omitir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/173780.mp4
único,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/55801.mp4
hacia delante,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/301146.mp4
encendido,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/235843.mp4
palmadita,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/179379.mp4
abierto,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/127881.mp4
o,conjunción,lenguaje,https://media.spreadthesign.com/video/mp4/5/282506.mp4
tardío,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/67362.mp4
citar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/278508.mp4
riñar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/58048.mp4
estar cualificado,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/236456.mp4
oralmente,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/173786.mp4
desgarrar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/406329.mp4
burlarse,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/148617.mp4
lágrima,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/58333.mp4
salida,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/64994.mp4
fuera,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/64995.mp4
debería,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/151848.mp4
nuestro,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/174628.mp4
mensaje,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/180560.mp4
desinencia,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/270767.mp4
ancho de hombros,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/276939.mp4
participante,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/156699.mp4
definir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/151873.mp4
central,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/151149.mp4
celibato,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/330623.mp4
arriesgar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/131805.mp4
usuario,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/173790.mp4
romper una promesa,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/156102.mp4
roto,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/126092.mp4
superficie,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/772.mp4
dialecto,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/152598.mp4
destructivo,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/152579.mp4
dialogo,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/152599.mp4
además,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/148993.mp4
cita,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/164394.mp4
alboroto,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/149012.mp4
agarrar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/618818.mp4
gemir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/330778.mp4
omnipotencia,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/173781.mp4
en general,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/153124.mp4
todas las cosas,pronombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/157182.mp4
quejarse,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/154059.mp4
timar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/157174.mp4
suponer,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/64811.mp4
guiar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/64809.mp4
vital,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/126070.mp4
activar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/164368.mp4
definitivo,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/151875.mp4
ovación,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/154948.mp4
contar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/67390.mp4
tentar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/67411.mp4
estado de ánimo,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/405765.mp4
por,preposición,lenguaje,https://media.spreadthesign.com/video/mp4/5/157627.mp4
declarar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/67428.mp4
tema,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/58342.mp4
por eso,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/190922.mp4
a ellos,pronombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/67417.mp4
aquel,pronombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/330551.mp4
teoría,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/58341.mp4
su,pronombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/55470.mp4
a,preposición,lenguaje,https://media.spreadthesign.com/video/mp4/5/58170.mp4
no obstante,conjunción,lenguaje,https://media.spreadthesign.com/video/mp4/5/275953.mp4
latir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/179480.mp4
pensamiento,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/71745.mp4
tender,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/157147.mp4
espléndido,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/406469.mp4
terrible,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/59353.mp4
ellos/as,pronombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/58340.mp4
este,pronombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/330924.mp4
conducir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/475663.mp4
difundido,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/152619.mp4
disciplina,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/152630.mp4
debatir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/164403.mp4
distribución,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/152652.mp4
discriminar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/152634.mp4
sustituir,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/163685.mp4
Una vez más,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/131801.mp4
experiencia,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/164409.mp4
mantener ocupado a alguien,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/179961.mp4
sordera,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/163656.mp4
sin embargo,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/432564.mp4
ética,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/153396.mp4
hay,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/152040.mp4
realmente,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/235838.mp4
en realidad,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/131796.mp4
efecto,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/271244.mp4
sueño,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/163672.mp4
babear,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/148967.mp4
solucionado,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/163644.mp4
distante,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/152648.mp4
argumento,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/164377.mp4
arbitrario,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/149065.mp4
comentario,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/151190.mp4
comunicado,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/155522.mp4
lleno hasta el borde,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/423949.mp4
comentar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/151189.mp4
sector,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/163559.mp4
abominable,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/164361.mp4
poner al descubierto,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/190917.mp4
finalización,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/151994.mp4
adaptar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/148988.mp4
de otro modo,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/151819.mp4
enérgico,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/330871.mp4
nimiedad,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/154359.mp4
hacia atrás,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/152037.mp4
una tarea sencilla,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/153806.mp4
asimilación,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/149071.mp4
avanzado,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/475590.mp4
admisión,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/276571.mp4
Árabe,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/119792.mp4
nota,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/174626.mp4
anotar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/246517.mp4
Arameo,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/119802.mp4
superar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/65613.mp4
truco,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/58180.mp4
caerse,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/65622.mp4
tremendo,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/157232.mp4
lanzar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/55452.mp4
tipo,nombre,lenguaje,https://media.spreadthesign.com/video/mp4/5/58816.mp4
hacer una pirueta,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/175605.mp4
trasladar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/179611.mp4
transformar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/56496.mp4
pisar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/156845.mp4
ocupado,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/173773.mp4
vocalizar,verbo,lenguaje,https://media.spreadthesign.com/video/mp4/5/35542.mp4
oral,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/35540.mp4
contra,preposición,lenguaje,https://media.spreadthesign.com/video/mp4/5/35563.mp4
casi,adverbio,lenguaje,https://media.spreadthesign.com/video/mp4/5/35721.mp4
compacto,adjetivo,lenguaje,https://media.spreadthesign.com/video/mp4/5/35728.mp4
